ID,YearQrtr,Asset Growth Rate ,Gross Loans/ Assets ,Deposit Growth Rate ,Loans/ Deposits ,Interest Income/ Avg Assets ,Interest Expense/ Average Assets ,Net Interest Income/ Avg Assets ,Noninterest Income/ Average Assets ,Net Interest Margin ,Yield/ Cost Spread ,Operating Expense/ Operating Revenue ,Risk Based Capital Ratio ,Equity/ Assets ,Reserves/ NPAs ,Yield on Loans and Leases ,Cost of Funds , Change in Assets , Change in Deposits ,Net Chargeoffs/ Avg Loans ,Yield on Earning Assets ,Cost of Interest-bearing Liabilities ,Yield/ Cost Spread ,Yield on Securities & Other Assets ,Yield on Debt and Equity Securities ,Yield on Other Assets ,Cost of Int-bearing Deposits ,Cost of Borrowings ,Cost of Time Deposits > $250K ,Cost of Other Time Deposits ,Earning Assets/ IBL ,Liquidity Ratio ,Liquid Assets/ Assets ,One Year Gap/ Assets ,Asset-weighted Securities & Other Yield ,Asset-weighted Loan Yield ,Asset-weighted Securities Yield ,Liab-weigh Cost of Int-bear Dep ,Liability-wtd Borrowing Cost ,Asset-weighted Other Asset Yield ,ROAA ,U.S.Avg Rate _1Yr10K_CD,U.S.Avg Rate _5Yr10K_CD
BNk1,2007Q1,10.39,67.03,16.53,82.22,7.02,2.1,4.92,0.73,5.29,4.49,53.46,13.83,13.56,,7.98,2.36,2.6,4.13,-0.05,7.55,3.06,4.49,6.03,6.28,5,3.01,4.58,4.89,4.99,141.78,25.05,21.66,6.72,1.33,6.22,1.13,2.92,0.14,0.2,1.6,4.85,
BNk2,2007Q1,-21.51,82.53,-1.37,94.54,5.82,3.23,2.62,0.2,2.96,2.67,95.8,12.31,8.62,176.21,6.74,3.58,-5.38,-0.34,0,6.56,3.89,2.67,4.72,,-0.17,3.68,7.04,,,106.81,10.57,9.66,,0.42,6.13,,3.46,0.42,0.43,0.1,4.63,5.19
BNk3,2007Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNk4,2007Q1,2.36,85.25,1.08,106.26,6.67,2.39,4.28,1.08,4.63,3.85,92.53,17.42,13.27,,7.48,2.8,0.59,0.27,0.19,7.2,3.35,3.85,3.81,4.42,0.42,3.13,6.12,4.76,4.49,126.07,10.45,9.07,-17.72,0.29,6.91,0.29,2.9,0.45,0,0.25,3.98,4.72
BNk5,2007Q1,-0.45,73.44,-1.95,92.07,6.08,3.22,2.85,1.89,3.04,2.43,72.9,14.32,9.86,405.57,7.03,3.6,-0.11,-0.49,-0.08,6.48,4.06,2.43,4.35,4.31,2,3.92,5.02,4.27,4.86,120.55,16.3,14.69,-9.44,0.87,5.62,0.82,3.45,0.6,0.04,0.93,4.03,4.59
BNk6,2007Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNk7,2007Q1,-8.7,69.91,-12.41,86.17,6.86,2.36,4.5,0.43,4.76,4.18,63.38,16.8,10.81,197.18,8.12,2.65,-2.18,-3.1,-0.01,7.25,3.07,4.18,4.66,4.52,4,2.77,5.94,4.42,4.35,124.92,18.29,16.32,23.03,1.17,6.09,1.04,2.49,0.59,0.12,1.65,4,4.5
BNk8,2007Q1,13.94,55.7,15.65,62.94,5.68,2.11,3.57,1.5,3.83,3.16,64.3,18.56,5.57,158.3,7.15,2.37,3.48,3.91,-0.13,6.1,2.94,3.16,4.52,4.39,5.14,2.94,9.09,2.95,2.99,126.36,22.85,20.34,21.91,1.81,4.29,1.45,2.94,0,0.36,0.58,,
BNk9,2007Q1,2.98,49.2,-4.02,64.39,5.36,2.97,2.42,0.29,2.54,2,80.63,24.84,10.42,313.6,6.39,3.39,0.74,-1.01,-0.06,5.61,3.6,2,4.72,,-0.78,3.51,4.27,,,117.91,53.5,47.92,,2.22,3.39,,3.05,0.56,2.22,0.38,,
BNk10,2007Q1,0.4,43.45,-0.23,52.09,5.62,1.73,3.9,0.99,4.44,3.77,97.29,28.45,14.94,165.45,7.86,2.06,0.1,-0.06,0.01,6.39,2.62,3.77,5.01,,-1.47,2.6,4.9,,,134.22,56.47,48.04,,2.61,3.77,,2.58,0.05,2.62,0.2,4.75,4.73
